unit_id,treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,developer_experience,rollout_eligibility,noise_feature,docstring_detail_score,review_flag
0,1,0,43,1,3,0,5.59,0,0.5427,-0.6194734179499681,1
1,0,0,25,1,7,0,2.44,0,0.8103,-0.4797234210395013,0
2,1,1,139,3,24,7,5.07,0,0.7016,-0.1647864938886947,0
3,1,0,56,2,13,2,3.89,0,0.0565,0.2285344364795483,0
4,0,1,100,5,11,0,5.2,0,0.2059,0.19431901693487655,1
5,0,0,179,10,33,2,6.5,0,2.3611,0.6640870455814656,0
6,1,1,131,5,28,0,3.8,1,-0.2807,-0.24710568867129679,0
7,1,1,38,4,3,3,8.24,1,-1.7884,0.09345208123111559,0
8,0,0,27,1,7,0,4.61,1,0.9696,0.7369918232083476,0
9,0,1,35,1,9,2,6.45,1,1.2466,1.4631665002036058,1
10,0,1,89,3,16,3,6.66,0,0.3914,1.554259004508547,1
11,1,0,49,2,6,3,8.54,0,-0.2292,-0.6176545815217256,0
12,1,1,32,1,7,0,6.35,1,2.1176,2.5367029756696713,1
13,0,0,141,4,26,1,3.89,1,-0.1183,1.21206634240054,0
14,1,1,80,4,12,5,3.5,0,-1.519,-0.8930008600307309,1
15,0,0,31,1,6,2,5.71,1,0.3574,1.095805865237856,0
16,1,1,52,3,10,0,2.79,0,-0.4855,1.0068453113568363,0
17,0,0,88,5,22,0,5.87,0,-0.2198,-0.5687249234297991,1
18,1,0,249,9,36,6,8.85,1,1.0374,0.2700197524531939,1
19,1,1,145,3,15,1,6.31,0,1.1638,0.7891403512270511,1
20,0,0,25,1,7,0,3.54,1,-0.8101,0.8289300251708444,1
21,0,0,58,4,4,9,7.6,1,-0.783,1.0387453481564637,1
22,1,0,49,2,11,0,7.34,1,1.1455,0.6702888301589145,0
23,0,0,106,4,18,6,5.79,1,1.0983,-0.8551792318435554,0
24,1,0,230,13,24,8,7.01,1,0.1944,0.11540583921798564,1
25,0,1,29,1,7,0,5.15,0,0.2359,1.127958629196906,1
26,0,0,36,1,8,0,6.1,0,0.0003,-2.148417859652925,0
27,1,0,80,8,7,5,0.33,0,-1.9847,0.1573536296191309,0
28,0,1,23,1,7,0,8.11,0,-1.3856,-1.3194505555659144,1
29,0,0,44,1,9,1,3.37,1,0.8663,-1.0619266885879866,0
